"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"762419";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";61;127;"Stefanos Tsitsipas";"R";193;"GRE";19,5;1;"Radu Albot";"R";175;"MDA";28,3;"7-6(2) 6-2";3;"R128";92;4;2;67;39;28;15;10;7;9;0;6;59;38;24;6;10;1;5;71;756;88;643;7;6;NA;NA;NA;6;2;NA;NA;NA;2018-03-05;2018;"2018-M006:61";21;0;1,85025288049532;1,5405683813627;1;"Radu Albot";127;"Stefanos Tsitsipas";1,5405683813627;1,85025288049532;-0,309684499132615;28,3;19,5;8,8;175;193;-18;0,777777777777778;0,2;0,2;0,777777777777778;-0,577777777777778;5;9;1;7;4;2;2;4;-2;0;0;1
"762420";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";62;117;"Denis Shapovalov";"L";185;"CAN";18,8;8;"Ricardas Berankis";"R";175;"LTU";27,7;"6-3 6-4";3;"R128";72;6;7;53;25;22;17;10;0;1;0;5;52;29;21;10;9;3;6;44;1166;106;548;6;6;NA;NA;NA;3;4;NA;NA;NA;2018-03-05;2018;"2018-M006:62";22;0;2,5405683813627;1,2720795454368;8;"Ricardas Berankis";117;"Denis Shapovalov";1,2720795454368;2,5405683813627;-1,2684888359259;27,7;18,8;8,9;175;185;-10;0;0,5;0,5;0;0,5;6;1;3;0;3;1;1;3;-2;0;0;1
"762424";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";66;103;"Peter Polansky";"R";180;"CAN";29,7;20;"Marius Copil";"R";193;"ROU";27,3;"7-6(3) 6-7(5) 7-6(12)";3;"R128";192;1;6;124;70;57;33;18;4;6;25;3;129;66;50;37;18;5;7;134;412;81;677;7;6;7;NA;NA;6;7;6;NA;NA;2018-03-05;2018;"2018-M006:66";23;0;0,933910809542228;1,66014999711538;20;"Marius Copil";103;"Peter Polansky";1,66014999711538;0,933910809542228;0,726239187573148;27,3;29,7;-2,4;193;180;13;0,666666666666667;0,714285714285714;0,714285714285714;0,666666666666667;0,0476190476190477;7;6;5;4;2;2;2;2;0;0;0;1
"762425";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";67;74;"Mitchell Krueger";"R";188;"USA";24,1;100;"Benoit Paire";"R";196;"FRA";28,8;"6-4 1-6 6-4";3;"R128";115;1;2;82;47;32;15;13;2;6;15;13;92;47;38;16;14;5;9;231;228;46;1075;6;1;6;NA;NA;4;6;4;NA;NA;2018-03-05;2018;"2018-M006:67";24;1;0,148250958583943;2,47643804394299;74;"Mitchell Krueger";100;"Benoit Paire";0,148250958583943;2,47643804394299;-2,32818708535904;24,1;28,8;-4,7;188;196;-8;0,333333333333333;0,555555555555556;0,333333333333333;0,555555555555556;-0,222222222222222;9;6;5;2;4;4;4;4;0;0;0;1
"762427";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";69;19;"Marin Cilic";"R";198;"CRO";29,4;45;"Marton Fucsovics";"R";188;"HUN";26;"7-5 6-3";3;"R64";99;2;1;65;29;21;26;11;2;2;2;4;71;34;23;18;10;8;10;3;4870;65;825;7;6;NA;NA;NA;5;3;NA;NA;NA;2018-03-05;2018;"2018-M006:69";25;1;6,41503749927884;1,97763218697155;19;"Marin Cilic";45;"Marton Fucsovics";6,41503749927884;1,97763218697155;4,4374053123073;29,4;26;3,4;198;188;10;1;0,8;1;0,8;0,2;10;2;8;2;2;0;2;0;2;0;0;1
"762430";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";72;88;"Gael Monfils";"R";193;"FRA";31,5;60;"John Isner";"R";206;"USA";32,8;"6-7(5) 7-6(3) 7-5";3;"R64";155;8;5;121;81;62;24;18;7;7;15;3;107;68;55;23;18;2;3;42;1220;18;2205;6;7;7;NA;NA;7;6;5;NA;NA;2018-03-05;2018;"2018-M006:72";26;0;2,60768257722124;3,83007499855769;60;"John Isner";88;"Gael Monfils";3,83007499855769;2,60768257722124;1,22239242133645;32,8;31,5;1,3;206;193;13;1;0,666666666666667;0,666666666666667;1;-0,333333333333333;3;7;2;7;1;0;0;1;-1;0;0;1
"762431";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";73;24;"Taro Daniel";"R";191;"JPN";25,1;31;"Novak Djokovic";"R";188;"SRB";30,7;"7-6(3) 4-6 6-1";3;"R64";150;1;8;107;52;37;28;15;5;7;4;4;94;60;39;18;14;8;11;109;539;13;2380;7;4;6;NA;NA;6;6;1;NA;NA;2018-03-05;2018;"2018-M006:73";27;1;1,23181567522307;4,29956028185891;24;"Taro Daniel";31;"Novak Djokovic";1,23181567522307;4,29956028185891;-3,06774460663583;25,1;30,7;-5,6;191;188;3;0,714285714285714;0,727272727272727;0,714285714285714;0,727272727272727;-0,012987012987013;11;7;8;5;3;2;3;2;1;0;0;1
"762434";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";76;27;"Juan Martin del Potro";"R";198;"ARG";29,4;26;"Alex De Minaur";"R";183;"AUS";19;"6-2 6-1";3;"R64";69;5;0;47;29;21;12;8;2;3;0;3;47;26;11;9;7;4;9;8;3200;141;401;6;6;NA;NA;NA;2;1;NA;NA;NA;2018-03-05;2018;"2018-M006:76";28;0;5;0,860448647601206;26;"Alex De Minaur";27;"Juan Martin del Potro";0,860448647601206;5;-4,13955135239879;19;29,4;-10,4;183;198;-15;0,666666666666667;0,444444444444444;0,444444444444444;0,666666666666667;-0,222222222222222;9;3;4;2;5;1;1;5;-4;0;0;1
"762435";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";77;122;"Joao Sousa";"R";185;"POR";28,9;133;"Alexander Zverev";"R";198;"GER";20,8;"7-5 5-7 6-4";3;"R64";143;1;4;100;52;39;26;17;4;7;14;1;100;58;40;24;17;6;10;85;660;5;4540;7;5;6;NA;NA;5;7;4;NA;NA;2018-03-05;2018;"2018-M006:77";29;1;1,5906090638623;5,67807190511264;122;"Joao Sousa";133;"Alexander Zverev";1,5906090638623;5,67807190511264;-4,08746284125034;28,9;20,8;8,1;185;198;-13;0,571428571428571;0,6;0,571428571428571;0,6;-0,0285714285714286;10;7;6;4;4;3;4;3;1;0;0;1
"762436";"2018-M006";"Indian Wells Masters";"Hard";"128";"Masters";78;109;"Milos Raonic";"R";196;"CAN";27,1;4;"Felix Auger Aliassime";"R";193;"CAN";17,5;"6-4 6-4";3;"R64";78;9;3;50;32;26;11;10;3;4;2;4;56;27;17;16;10;2;5;38;1270;169;327;6;6;NA;NA;NA;4;4;NA;NA;NA;2018-03-05;2018;"2018-M006:78";30;0;2,75207248655641;0,599120563717816;4;"Felix Auger Aliassime";109;"Milos Raonic";0,599120563717816;2,75207248655641;-2,1529519228386;17,5;27,1;-9,6;193;196;-3;0,75;0,4;0,4;0,75;-0,35;5;4;2;3;3;1;1;3;-2;0;0;1
