"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"817274";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";183;30;"Taylor Fritz";"R";193;"USA";22,2;3;"Kevin Anderson";"R";203;"RSA";33,6;"4-6 6-7(5) 7-6(4) 6-2 6-2";5;"R64";201;20;5;136;85;68;36;25;1;3;21;6;163;109;83;21;25;9;14;34;1335;122;445;4;6;7;6;6;6;7;6;2;2;2020-01-20;2020;"2020-580:183";25;0;2,91253715874966;1,06926266243711;3;"Kevin Anderson";30;"Taylor Fritz";1,06926266243711;2,91253715874966;-1,84327449631255;33,6;22,2;11,4;203;193;10;0,333333333333333;0,642857142857143;0,642857142857143;0,333333333333333;0,30952380952381;14;3;9;1;5;2;2;5;-3;0;0;1
"817276";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";185;55;"Daniil Medvedev";"R";198;"RUS";23,9;53;"Pedro Martinez";"R";185;"ESP";22,7;"7-5 6-1 6-3";5;"R64";129;19;2;84;48;39;23;14;3;4;4;1;93;63;38;10;14;6;12;4;5960;168;300;7;6;6;NA;NA;5;1;3;NA;NA;2020-01-20;2020;"2020-580:185";26;0;6;0,607682577221239;53;"Pedro Martinez";55;"Daniil Medvedev";0,607682577221239;6;-5,39231742277876;22,7;23,9;-1,2;185;198;-13;0,75;0,5;0,5;0,75;-0,25;12;4;6;3;6;1;1;6;-5;0;0;1
"817277";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";186;69;"Alexei Popyrin";"R";196;"AUS";20,4;60;"Jaume Munar";"R";183;"ESP";22,7;"6-2 7-6(5) 6-2";5;"R64";124;8;6;95;64;48;18;14;4;4;1;2;92;55;38;17;14;5;9;96;585;90;608;6;7;6;NA;NA;2;6;2;NA;NA;2020-01-20;2020;"2020-580:186";27;0;1,41503749927884;1,50814690367033;60;"Jaume Munar";69;"Alexei Popyrin";1,50814690367033;1,41503749927884;0,0931094043914813;22,7;20,4;2,3;183;196;-13;1;0,555555555555556;0,555555555555556;1;-0,444444444444444;9;4;5;4;4;0;0;4;-4;0;0;1
"817284";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";193;75;"Tennys Sandgren";"R";188;"USA";28,4;10;"Matteo Berrettini";"R";196;"ITA";23,7;"7-6(7) 6-4 4-6 2-6 7-5";5;"R64";203;22;2;146;105;84;23;26;8;11;16;3;154;100;82;31;26;3;5;100;573;8;2870;7;6;4;2;7;6;4;6;6;5;2020-01-20;2020;"2020-580:193";28;0;1,35614381022528;5;10;"Matteo Berrettini";75;"Tennys Sandgren";5;1,35614381022528;3,64385618977472;23,7;28,4;-4,7;196;188;8;0,727272727272727;0,6;0,6;0,727272727272727;-0,127272727272727;5;11;3;8;2;3;3;2;1;0;0;1
"817285";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";194;70;"Sam Querrey";"R";198;"USA";32,2;9;"Ricardas Berankis";"R";175;"LTU";29,5;"7-6(2) 4-6 6-4 6-4";5;"R64";155;26;4;112;68;59;23;21;3;6;7;8;136;74;53;33;21;6;10;45;1100;69;804;7;4;6;6;NA;6;6;4;4;NA;2020-01-20;2020;"2020-580:194";29;0;2,50814690367033;1,89147554322183;9;"Ricardas Berankis";70;"Sam Querrey";1,89147554322183;2,50814690367033;-0,616671360448494;29,5;32,2;-2,7;175;198;-23;0,5;0,6;0,6;0,5;0,1;10;6;6;3;4;3;3;4;-1;0;0;1
"817287";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";196;29;"Fabio Fognini";"R";178;"ITA";32,6;82;"Jordan Thompson";"R";183;"AUS";25,7;"7-6(4) 6-1 3-6 4-6 7-6(4)";5;"R64";245;10;6;164;93;68;42;25;8;11;12;4;169;101;74;34;25;8;11;12;2310;66;843;7;6;3;4;7;6;1;6;6;6;2020-01-20;2020;"2020-580:196";30;1;4,41503749927884;1,95560588064155;29;"Fabio Fognini";82;"Jordan Thompson";4,41503749927884;1,95560588064155;2,4594316186373;32,6;25,7;6,9;178;183;-5;0,727272727272727;0,727272727272727;0,727272727272727;0,727272727272727;0;11;11;8;8;3;3;3;3;0;0;0;1
"817288";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";197;31;"Marton Fucsovics";"R";188;"HUN";27,9;78;"Jannik Sinner";"R";188;"ITA";18,4;"6-4 6-4 6-3";5;"R64";136;6;3;88;55;38;16;15;1;4;0;4;101;55;36;17;14;5;12;67;827;82;671;6;6;6;NA;NA;4;4;3;NA;NA;2020-01-20;2020;"2020-580:197";31;1;1,93391080954223;1,64244799538192;31;"Marton Fucsovics";78;"Jannik Sinner";1,93391080954223;1,64244799538192;0,291462814160312;27,9;18,4;9,5;188;188;0;0,25;0,416666666666667;0,25;0,416666666666667;-0,166666666666667;12;4;5;1;7;3;7;3;4;0;0;1
"817289";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";198;68;"Tommy Paul";"R";185;"USA";22,6;23;"Grigor Dimitrov";"R";188;"BUL";28,6;"6-4 7-6(6) 3-6 6-7(3) 7-6(3)";5;"R64";259;11;5;214;123;86;44;28;9;15;21;8;189;125;85;34;27;11;16;80;696;20;1772;6;7;3;6;7;4;6;6;7;6;2020-01-20;2020;"2020-580:198";32;0;1,67807190511264;3,67807190511264;23;"Grigor Dimitrov";68;"Tommy Paul";3,67807190511264;1,67807190511264;2;28,6;22,6;6;188;185;3;0,6;0,6875;0,6875;0,6;0,0875;16;15;11;9;5;6;6;5;1;0;0;1
"817290";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";199;56;"John Millman";"R";183;"AUS";30,6;40;"Hubert Hurkacz";"R";196;"POL";22,9;"6-4 7-5 6-3";5;"R64";148;5;5;117;65;42;23;16;5;10;9;8;81;45;29;11;15;2;10;47;1096;31;1398;6;7;6;NA;NA;4;5;3;NA;NA;2020-01-20;2020;"2020-580:199";33;0;2,44541114832236;3,04580368961313;40;"Hubert Hurkacz";56;"John Millman";3,04580368961313;2,44541114832236;0,600392541290763;22,9;30,6;-7,7;196;183;13;0,5;0,2;0,2;0,5;-0,3;10;10;2;5;8;5;5;8;-3;0;0;1
"817291";"2020-580";"Australian Open";"Hard";"128";"Grand Slams";200;28;"Roger Federer";"R";185;"SUI";38,4;48;"Filip Krajinovic";"R";185;"SRB";27,8;"6-1 6-4 6-1";5;"R64";92;14;0;68;47;36;13;12;2;3;4;2;77;57;33;4;12;7;14;3;6590;41;1158;6;6;6;NA;NA;1;4;1;NA;NA;2020-01-20;2020;"2020-580:200";34;1;6,41503749927884;2,64244799538192;28;"Roger Federer";48;"Filip Krajinovic";6,41503749927884;2,64244799538192;3,77258950389693;38,4;27,8;10,6;185;185;0;0,666666666666667;0,5;0,666666666666667;0,5;0,166666666666667;14;3;7;2;7;1;7;1;6;0;0;1
